captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T03:21:44Z,Wed Sep 09 2026,30 days,22,528274,250,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",1876,1004,1301,202,202
2026-09-09T22:23:26Z,Wed Sep 09 2026,30 days,22,525171,250,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",1901,1002,1298,250,48
2026-09-10T22:23:26Z,Thu Sep 10 2026,30 days,22,524290,253,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",1936,1001,1287,253,7
2026-09-11T13:36:25Z,Fri Sep 11 2026,30 days,22,530312,260,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",1872,1001,1283,260,10
2026-09-12T04:57:42Z,"Sat Sep 12 2026OverviewThe Holland Department of Public Safety (HDPS) employs Flock Safety's automated license plate recognition (ALPR) technology as a investigative and public safety tool.  ALPR delivers objective images of vehicles, which can lead to investigative breakthroughs through retrospective searches after incidents are reported.  It also offers real-time alerts for stolen vehicles or license plates, vehicles linked to wanted persons, missing or endangered individuals and other critical public safety issues.","30 daysTotal CamerasNumber of LPR and other cameras.22LPR CamerasNumber of LPR cameras only.22Unique Vehicles DetectedNumber of unique plate reads over the last 30 days.531,290Number of SearchesTotal user search sessions over the last 30 days.260Hotlists Alerted OnNational and statewide hotlist sources.NCMEC Amber Alert, Wisconsin DOJ, MI LEINNumber of Hotlist HitsTotal hotlist hits over the last",22,531290,260,,1841,3,3,260,8
2026-09-12T12:07:27Z,Sat Sep 12 2026,30 days,22,531290,260,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",1841,1000,1280,260,0
